,repository_name,linguagens
0,6point6_redbox-copilot,Python
1,aada,Go
2,AARO-Bugs,C
3,accenture.github.io,HTML
4,accenture.github.redesign,HTML
5,adop-aws,
6,adop-base-proxy,Dockerfile
7,adop-cartridge-ansible,Groovy
8,adop-cartridge-ansible-demo-scenario-playbook,
9,adop-cartridge-ansible-reference-role,Ruby
10,adop-cartridge-cartridge-dev,Groovy
11,adop-cartridge-chef,Groovy
12,adop-cartridge-chef-reference-cookbook,Ruby
13,adop-cartridge-chef-scripts,Shell
14,adop-cartridge-doa-m3,Groovy
15,adop-cartridge-doa-m5,Groovy
16,adop-cartridge-doa-m7-m8,Groovy
17,adop-cartridge-docker,Groovy
18,adop-cartridge-docker-reference,Dockerfile
19,adop-cartridge-java,Groovy
20,adop-cartridge-java-environment-template,
21,adop-cartridge-java-pipeline,Groovy
22,adop-cartridge-java-regression-tests,Java
23,adop-cartridge-skeleton,Groovy
24,adop-cartridge-specification,Shell
25,adop-cartridges,
26,adop-cartridges-cookbook,CSS
27,adop-doa-materials,Java
28,adop-docker-compose,Shell
29,adop-dsl-custom-cartridge-properties,Groovy
30,adop-gerrit,Shell
31,adop-gitlab,Shell
32,adop-jenkins,Groovy
33,adop-jenkins-worker,Dockerfile
34,adop-ldap,Shell
35,adop-ldap-ltb,PHP
36,adop-ldap-phpadmin,Shell
37,adop-logstash,
38,adop-nexus,Shell
39,adop-nginx,CSS
40,adop-outer-proxy,Shell
41,adop-platform-extension-chef,
42,adop-platform-extension-specification,
43,adop-platform-management,Groovy
44,adop-pluggable-scm,HTML
45,adop-pluggable-scm-jenkinsfile,Groovy
46,adop-sensu,Ruby
47,adop-sonar,Shell
48,AIR,Python
49,airefinery-sdk,Python
50,alexa-pokitdok,JavaScript
51,alexia,JavaScript
52,alexia-starter-kit,JavaScript
53,ALM-SF-DX-Pipelines,Groovy
54,ALM-SF-DX-Python-Tools,Python
55,ALM-SF-Metadata-API-Pipelines,Groovy
56,ALM-SF-Metadata-API-Python-Tools,Python
57,AmpliGraph,Python
58,askme,JavaScript
59,atom,
60,AutoFixture.XUnit2.AutoMock,C#
61,azure-arc-playground-builder,Shell
62,bdd-for-all,Java
63,BinaryNinja_Helpers,C
64,bytefreq,Awk
65,bytefreq-rs,Rust
66,can_dlc_fuzzer,C++
67,caspanda,Python
68,certbot,
69,CIFR_Yara,YARA
70,CLRvoyance,Assembly
71,cna-aws-cdk-patterns,TypeScript
72,Cockpit,Java
73,Codecepticon,C#
74,conceptual-models-from-openapi-spec,
75,Condstanta,Python
76,cordova-docs,JavaScript
77,cordova-plugin-camera,JavaScript
78,cordova-plugin-file,JavaScript
79,cordova-plugin-media,JavaScript
80,cordova-plugin-splashscreen,Objective-C
81,Cymple,Python
82,cypress_template_framework,JavaScript
83,damage-control,
84,data-quality-profiler-and-rules-engine,Scala
85,DBTestCompare,Java
86,DBTestCompareGenerator,C#
87,digital-products-boosters,JavaScript
88,dmarc_checker,Rust
89,docker-plaso,Makefile
90,Docknet,Jupyter Notebook
91,DX-Mate,TypeScript
92,energy-consumption-measuring-toolkit,Python
93,environment-dashboard,Java
94,evil_update,C
95,Federated-Catalogue-Viewer,TypeScript
