,repository_name,linguagens
0,.github,
1,akd,Rust
2,Ax,Python
3,between-meals,Ruby
4,bookworm,Ruby
5,bpfilter,C
6,buck,Java
7,buck2,Rust
8,buck2-prelude,Starlark
9,buck2-shims-meta,Starlark
10,bunnylol.rs,Rust
11,CacheLib,C++
12,capi-param-builder,JavaScript
13,chef-cookbooks,Ruby
14,chef-utils,Ruby
15,chisel,Python
16,componentkit,Objective-C++
17,content-review-filters,TypeScript
18,Conversion-Leads-Salesforce-APEX,
19,create-react-app,JavaScript
20,dns,Go
21,docusaurus,TypeScript
22,dont-use-facebook-for-woocommerce,PHP
23,dotslash,Rust
24,dotslash-publish-release,Python
25,duckling,Haskell
26,errpy,Rust
27,facebook-android-sdk,Kotlin
28,facebook-business-sdk-codegen,PHP
29,facebook-for-woocommerce,PHP
30,facebook-ios-sdk,Swift
31,facebook-java-business-sdk,Java
32,facebook-nodejs-business-sdk,JavaScript
33,facebook-php-business-sdk,PHP
34,facebook-python-business-sdk,Python
35,facebook-ruby-business-sdk,Ruby
36,facebook-sdk-for-unity,C#
37,facebook360_dep,HTML
38,FAI-PEP,Python
39,fatal,C++
40,fb303,C++
41,FBAudienceNetwork,Swift
42,fbghc,Haskell
43,fbjs,JavaScript
44,fbnic-mock-fw,Python
45,fbnic_qemu,C
46,fboss,C++
47,FBRetainCycleDetector,Objective-C++
48,fbt,JavaScript
49,fbthrift,C++
50,fishhook,C
51,flipper,TypeScript
52,flow,OCaml
53,folly,C++
54,fresco,Java
55,gfxbench,C
56,gfxreconstruct,C++
57,glTF,HTML
58,glTF-Sample-Assets,PHP
59,glXF,
60,GoogleTagManager-WebTemplate-For-FacebookPixel,Smarty
61,grocery-delivery,Ruby
62,Haxl,Haskell
63,hermes,JavaScript
64,hhvm,C++
65,homebrew-fb,Ruby
66,hyperion,TypeScript
67,idb,Objective-C
68,idx,JavaScript
69,igl,C++
70,immersive-web-sdk,TypeScript
71,infer,OCaml
72,install-dotslash,
73,IT-CPE,Ruby
74,jemalloc,C
75,jscodeshift,JavaScript
76,jsx,HTML
77,ktfmt,Kotlin
78,kuduraft,C++
79,lexical,TypeScript
80,lexical-ios,Swift
81,litho,Kotlin
82,lr-with-bins,Jupyter Notebook
83,mariana-trench,C++
84,mcrouter,C++
85,memlab,JavaScript
86,messaging_schemas,
87,meta-haptics-sdk,C++
88,meta-wearables-dat-android,
89,meta-wearables-dat-ios,
90,metro,JavaScript
91,mvfst,C++
92,mysql-5.6,C++
93,mysql-8.0,C++
94,netconsd,C
95,ocaml-scripts,Python
96,ocamlrep,Rust
97,opaque-ke,Rust
98,open-graph-protocol,PHP
99,openapi,
100,OpenBIC,C
101,openbmc,C
102,openbmc-linux,C
103,openbmc-uboot,
104,openr,C++
105,openzl,C
106,oram,Rust
107,OSM-HOT-Tasking-Manager,JavaScript
108,pake-kem,Rust
109,PathPicker,Python
110,prop-types,JavaScript
111,prophet,Python
112,proxygen,C++
113,pyre-action,
114,pyre-check,OCaml
115,pyre2,C++
116,pyrefly,Rust
117,pyrefly-pre-commit,Python
118,Pysa,CSS
119,pysa-action,
120,Rapid,JavaScript
121,react,JavaScript
122,react-devtools,
123,react-native,C++
124,react-native-cdp-status,TypeScript
125,react-native-deprecated-modules,JavaScript
126,react-native-devtools-frontend,TypeScript
127,react-native-website,TypeScript
128,react-router-3,
129,react-strict-dom,JavaScript
130,redex,C++
131,regenerator,JavaScript
132,relay,Rust
133,ristretto255-js,JavaScript
134,rocksdb,C++
135,sapling,Rust
136,sapp,Python
137,screenshot-tests-for-android,Java
138,SoLoader,Java
139,SPARTA,C++
140,SPIRV-Headers,
141,SPIRV-Registry,
142,squangle,C++
143,starlark-rust,Rust
144,stetho,Java
145,stylex,JavaScript
146,tac_plus,C
147,taste-tester,Ruby
148,TestSlide,Python
149,TextLayoutBuilder,Kotlin
150,threat-research,Python
151,ThreatExchange,C++
152,time,Go
153,transform360,C++
154,usort,Python
155,voprf,Rust
156,wangle,C++
157,watchman,C++
158,wdt,C++
159,winterfell,Rust
160,yoga,C++
161,zapier-shops-orders,TypeScript
162,zstd,C
