,repository_name,linguagens
0,-ColPret-ColPret-,
1,-wxflows-,
2,.github,
3,1password-ibm-demo,
4,2024-TX-Runtimes-Lab-Guides,
5,2BFAIR-framework,Python
6,3D-CiM-LLM-Inference-Simulator,Python
7,abap-sdk-btp-x,ABAP
8,abap-sdk-nwas-x,ABAP
9,abductive-rule-learner-with-context-awareness,Python
10,abstract-noise-injection,Python
11,aca-e2e-test-harness,JavaScript
12,AccDNN,Verilog
13,accelerated-decision-making-with-ai,Java
14,accountable-federated-learning,
15,ace,
16,ACE-RISCV,Rust
17,acme-freight,
18,acme-freight-controller,Python
19,acme-freight-erp,JavaScript
20,acme-freight-mobile,Swift
21,acme-freight-recommendation,JavaScript
22,acme-freight-webui,JavaScript
23,acmeair-quarkus,Java
24,ACN-Project,
25,ACPBench,Python
26,action-recognition-pytorch,Python
27,action-runner-image-pz,Shell
28,actions-ibmcloud-cli,JavaScript
29,actions-ibmcloud-iks,HTML
30,actionspz,
31,activated-lora,Python
32,activation-steering,Python
33,activator-lagom-java-chirper,Java
34,ada,Python
35,AdaMML,Python
36,adaptive-federated-learning,Python
37,addi-data-extractor,Python
38,admission-control,Go
39,ado,Python
40,adobe-commerce-ibm-oms-connector,JavaScript
41,adv-def-text,Python
42,Adversarial-Prompt-Evaluation,Python
43,advPatNet-pytorch,Python
44,aem-advanced-restrictions,Java
45,aem-tenant-specific-vanity-urls,Java
46,AFDistill,Python
47,agent-assist,JavaScript
48,agentic-ai-cyberres,Python
49,agentic-iac-lab-materials,HCL
50,agentic-patterns,
51,agentic-tool-monitoring-blog,Python
52,Agentics,Python
53,agile-nfr-framework,
54,agile-service-manager-gis-map-plugin,JavaScript
55,agile-service-manager-tools,
56,agile-tutorial,Python
57,ai-360-toolkit-explained,
58,ai-agent-for-loan-risk,Jupyter Notebook
59,AI-assisted-chemical-sensing,Python
60,ai-atlas-nexus,Cypher
61,ai-atlas-nexus-demos,Jupyter Notebook
62,ai-atlas-nexus-extensions,Python
63,ai-data-workshop,Jupyter Notebook
64,ai-demos,Python
65,AI-Descartes,Java
66,ai-enhanced-lead-optimization-workflow,
67,ai-governance-factsheet-samples,Jupyter Notebook
68,AI-Hilbert,Jupyter Notebook
69,AI-IBMi-guide,MDX
70,ai-minimization-toolkit,Python
71,AI-Noether,Macaulay2
72,AI-on-Power-Level3,
