,repository_name,linguagens
0,.github,
1,aaosl-agda,Agda
2,accelerated-data-science,Python
3,accs-caching-java-sdk,Java
4,adaptivemm,C
5,adb-extproc,
6,adb-free,
7,adf-samples,Java
8,agent-spec,Python
9,ai-optimizer,Python
10,analytical-sql-examples,PLSQL
11,ansible-database-migration-tool,Python
12,apex,
13,apps-cloud-ui-kit,CSS
14,apps-mobile-ui-kit,Java
15,ar-cx-accelerator,Swift
16,atg-build-tools,Java
17,atg-commerce-iaas,Python
18,ballerina-oci,Ballerina
19,bdglue,Java
20,bft-consensus-agda,Agda
21,big-data-lite,Java
22,binutils-gdb,
23,bosh-agent,Go
24,bosh-linux-stemcell-builder,Ruby
25,bosh-oracle-cpi,Go
26,bosh-oracle-cpi-release,Go
27,bots-node-sdk,TypeScript
28,bpftune,C
29,centos2ol,Shell
30,chaostoolkit-oci,Python
31,chef-samples,
32,cloud-asset-appsul-terraform-samples,HCL
33,cloud-asset-digital-assistant-smalltalk-bot,JavaScript
34,cloud-asset-erp-dataloading-using-java,Java
35,cloud-asset-fusion-jcs-extension-with-idcs,Java
36,cloud-asset-fusion-unifiedtasklist-sample,HTML
37,cloud-asset-hcm-dataloading-using-soacs-samples,
38,cloud-asset-ics-agentkeystore-scripts,Shell
39,cloud-asset-integration-oic-parkinglotpattern-sample,XSLT
40,cloud-asset-oci-msfailovercluster,Python
41,cloud-asset-oda-agent-handover,JavaScript
42,cloud-asset-oda-recruitmentbot,JavaScript
43,cloud-asset-taleo-icstoebsintegration-samples,Java
44,cloud-native-devops-workshop,JavaScript
45,cloudtestdrive,HTML
46,cluster-api-provider-oci,Go
47,cluster-manager,Go
48,coherence,Java
49,coherence-cli,Go
50,coherence-cpp-extend-client,C++
51,coherence-dotnet-extend-client,C#
52,coherence-eclipse-plugin,Java
53,coherence-go-client,Go
54,coherence-helidon-sockshop-sample,Java
55,coherence-idea-plugin,Java
56,coherence-js-client,TypeScript
57,coherence-kafka,Java
58,coherence-micronaut-sockshop-sample,Java
59,coherence-oci,Java
60,coherence-operator,Go
61,coherence-py-client,Python
62,coherence-spring-sockshop-sample,Java
