,repository_name,linguagens
0,ablon-tlpp-unittest,Dockerfile
1,advpl-language-server,TypeScript
2,advpl-vscode,TypeScript
3,api-SCIM,HTML
4,apicurio-studio,JavaScript
5,apis,
6,app-checkin-event,
7,app-checkin-front,TypeScript
8,app-checkin-notifier,C#
9,app-checkin-signup,Java
10,app-checkin-subscribe,C#
11,app-checkin-survey,Java
12,aws_acm,HCL
13,aws_cloudfront,HCL
14,aws_eks,HCL
15,aws_s3,HCL
16,azure-release-notes-generator,Java
17,cjose,C
18,CoffeeAndCodeJOI,OpenEdge ABL
19,CoffeeAndCodeSP,
20,crud-thf-30-min-universo,TypeScript
21,customer-api,JavaScript
22,datasul-ldap-tester,Java
23,dcp-extension,TypeScript
24,dts-e2e-utils,TypeScript
25,electron-wix-msi,
26,engpro_oci_oke,HCL
27,fluig-frontend-challenge,
28,frame-sp-universo,xBase
29,frontail,JavaScript
30,generator-totvs-dev,JavaScript
31,go-sdk,Go
32,gps-components,TypeScript
33,gps-gerador-aplicacao,OpenEdge ABL
34,gps-merge-tools,C#
35,guild-frontend-samples,HTML
36,guild-java,Java
37,ionic-conference-app,TypeScript
38,jansson,
39,luacall,HTML
40,md2poui,TypeScript
41,mingle-ionic-maps,CSS
42,mingle-sample-angular,TypeScript
43,mingle-sample-react,JavaScript
44,mingle-sample-vue,Vue
45,oauth2-proxy,Go
46,oci_oke,HCL
47,ocm,
48,oe-coverage,Java
49,oe-proparse,Java
50,oe-swagger-generator,Java
51,oe-test-agent,OpenEdge ABL
52,oe-tracer,Java
53,openapi-diff,Java
54,PaddleOCR,
55,pipeline-ci-protheus,Python
56,po-theme-bemacash,CSS
57,po-theme-fluig,CSS
58,po-theme-totvs,CSS
59,po-totvs-corp-theme,CSS
60,prettier-plugin-4gl,TypeScript
61,prettier-plugin-advpl,xBase
62,protheus-ci-universo,Python
63,protheus-smart-hub-layouts,
64,pulumi-azuredevops-extensions,Go
65,pulumi-slack,Go
66,pushgateway,
67,rac-external-authentication-sample,C#
68,standard-message,
69,supply-saas-tilt-extensions,Starlark
70,tds-da,
71,tds-eclipse,Java
72,tds-formatter,TypeScript
73,tds-formatter-config,
74,tds-languageclient,TypeScript
75,tds-ls,Shell
76,tds-monitor-frontend,TypeScript
77,tds-monitor-standalone,JavaScript
78,tds-parsers,xBase
79,tds-vscode,TypeScript
80,TDS-WebToolKit,TypeScript
81,tf-oci-instances,HCL
82,thf-angular-crud-templates,Smarty
83,thf-angular-sample,TypeScript
84,thf-angular-snippets,
85,thf-cli,JavaScript
86,thf-conference-sample,TypeScript
87,thf-desafio-frontend,
88,thf-mobile-app-lib,JavaScript
89,thf-mobile-cli,TypeScript
90,thf-sample-api,JavaScript
91,thf-snippets-vscode,
92,thf-template-blank,TypeScript
93,thf-template-sidemenu,TypeScript
94,thf-templates-sample,TypeScript
95,tir,Python
96,tir-docs,
97,tir-docs-1,
98,tir-installer,JavaScript
99,tir-script-samples,Python
100,tjf-mvn-archetype,Java
101,tjf-samples,Java
102,tjf-templates,
103,tlpp-core-resources,
104,tlpp-dyncall-samples,
105,tlpp-i18n-samples,
106,tlpp-oAuth2,
107,tlpp-probat-samples,Shell
108,tlpp-sample-rest,xBase
109,tlpp-sample-rest-documentation,
110,tlpp-samples,
111,tlpp-tools,SCSS
112,tnf-npgsql-migration,C#
113,tnf-samples,C#
114,tnf-zero,C#
115,totvs-healthcare-dev,TypeScript
116,totvs-wso2-login,HTML
117,ttalk-standard-message,JavaScript
118,twebchannel-js,JavaScript
119,twebchannel-quickstart,xBase
120,twebengine-sample,xBase
121,vm-provision,
122,vra_deployment,HCL
123,vscode-docs,JavaScript
124,vscode-todo-live-coding,
125,winthor-smart-hub-layouts,Python
126,workshop-ionic2,TypeScript
127,xsd2jsonschema,JavaScript
